Fra;Til;KWH 60 Forbruk
01.12.2020 00:00;01.12.2020 01:00;3.811
01.12.2020 01:00;01.12.2020 02:00;3.619
01.12.2020 02:00;01.12.2020 03:00;4.459
01.12.2020 03:00;01.12.2020 04:00;4.418
01.12.2020 04:00;01.12.2020 05:00;3.389
01.12.2020 05:00;01.12.2020 06:00;3.701
01.12.2020 06:00;01.12.2020 07:00;4.306
01.12.2020 07:00;01.12.2020 08:00;4.971
01.12.2020 08:00;01.12.2020 09:00;4.871
01.12.2020 09:00;01.12.2020 10:00;4.889
01.12.2020 10:00;01.12.2020 11:00;4.965
01.12.2020 11:00;01.12.2020 12:00;4.78
01.12.2020 12:00;01.12.2020 13:00;8.289
01.12.2020 13:00;01.12.2020 14:00;8.324
01.12.2020 14:00;01.12.2020 15:00;8.948
01.12.2020 15:00;01.12.2020 16:00;8.147
01.12.2020 16:00;01.12.2020 17:00;5.998
01.12.2020 17:00;01.12.2020 18:00;4.584
01.12.2020 18:00;01.12.2020 19:00;4.984
01.12.2020 19:00;01.12.2020 20:00;5.107
01.12.2020 20:00;01.12.2020 21:00;4.994
01.12.2020 21:00;01.12.2020 22:00;4.318
01.12.2020 22:00;01.12.2020 23:00;4.007
01.12.2020 23:00;02.12.2020 00:00;4.648
02.12.2020 00:00;02.12.2020 01:00;4.342
02.12.2020 01:00;02.12.2020 02:00;3.79
02.12.2020 02:00;02.12.2020 03:00;3.249
02.12.2020 03:00;02.12.2020 04:00;3.341
02.12.2020 04:00;02.12.2020 05:00;3.788
02.12.2020 05:00;02.12.2020 06:00;3.821
02.12.2020 06:00;02.12.2020 07:00;3.846
02.12.2020 07:00;02.12.2020 08:00;4.824
02.12.2020 08:00;02.12.2020 09:00;4.983
02.12.2020 09:00;02.12.2020 10:00;5.075
02.12.2020 10:00;02.12.2020 11:00;4.441
02.12.2020 11:00;02.12.2020 12:00;4.558
02.12.2020 12:00;02.12.2020 13:00;4.666
02.12.2020 13:00;02.12.2020 14:00;4.339
02.12.2020 14:00;02.12.2020 15:00;4.466
02.12.2020 15:00;02.12.2020 16:00;6.626
02.12.2020 16:00;02.12.2020 17:00;7.912
02.12.2020 17:00;02.12.2020 18:00;8.01
02.12.2020 18:00;02.12.2020 19:00;8.065
02.12.2020 19:00;02.12.2020 20:00;7.818
02.12.2020 20:00;02.12.2020 21:00;4.001
02.12.2020 21:00;02.12.2020 22:00;3.638
